key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2233259
monotonic_ns	package_uj	core_uj	sample_cost_ns
503526976882397	64068957431	8110236587	164324
503527026906141	64069852770	8110340448	186312
503527076855617	64070583171	8110368996	113216
503527126885091	64071264410	8110378868	176535
503527178066775	64071943452	8110405646	1077171
503527226863449	64072865966	8110437215	128191
503527276877736	64073963520	8110661522	158303
503527326923008	64074884477	8110746372	205636
503527376876450	64075582043	8110754673	164364
503527426845509	64076278875	8110775439	104931
503527476882596	64076953416	8110780474	162190
503527526854771	64077811282	8110864667	109129
503527576853132	64078904655	8111084306	135945
503527626846284	64079757074	8111173795	106084
503527676892176	64080469409	8111182095	172798
503527728685068	64081129577	8111190212	1749483
503527776904916	64081826562	8111210307	181864
503527826884954	64082584870	8111240701	159886
503527876889195	64083632011	8111409851	164775
503527927020796	64084428448	8111461591	324280
503527976925125	64085134664	8111487285	134873
503528026898482	64085824250	8111493129	161730
503528076900980	64086516780	8111512598	171186
503528126870751	64087267550	8111545525	155468
503528178274371	64088280315	8111701813	1317708
503528226895451	64089090164	8111756467	160648
503528276887741	64089935731	8111774563	155038
503528326887454	64090634060	8111799250	152494
503528376901362	64091312293	8111808558	184068
503528426850628	64092131464	8111851814	107015
503528476912909	64093106634	8112012573	195678
503528526851216	64093915170	8112050611	110581
503528576880140	64094606556	8112061932	171016
503528626961605	64095280990	8112078563	137618
503528676916912	64095962809	8112090663	199876
503528726869213	64096725328	8112132439	155379
503528776890073	64097782845	8112306716	169663
503528826909310	64098536925	8112315963	191942
503528876872851	64099232477	8112338697	143358
503528926869850	64099905370	8112343808	159366
503528976881824	64100621046	8112369717	138639
503529026884122	64101610772	8112530017	164765
503529077190847	64102742793	8112753654	181654
503529126858145	64103509202	8112773596	117072
503529176859712	64104170103	8112784139	128813
503529226888175	64104856469	8112811176	153826
503529276895782	64105524693	8112819705	157242
503529326851179	64106671179	8112974849	107677
503529376901630	64107702498	8113155793	187344
503529426857848	64108468190	8113181869	113476
503529476896159	64109152603	8113193450	185290
503529527863945	64109859094	8113214811	146914
503529576901456	64110538975	8113228513	186422
503529626867681	64111572872	8113419803	144139
503529676934922	64112632800	8113587641	216875
503529726890749	64113355022	8113596628	173931
503529776853719	64114062337	8113621941	115951
503529826882282	64114743027	8113630333	175534
503529877133180	64115458780	8113664922	210844
503529926855634	64116511444	8113866542	136246
503529976857462	64117502803	8114039674	112635
503530026846326	64118262559	8114050248	99331
503530076873136	64118937344	8114059555	124646
503530126904444	64119619408	8114080611	172548
503530176873124	64120313189	8114100264	159196
503530226893614	64121460148	8114319887	173450
503530276902433	64122384890	8114450862	410159
503530326862177	64123128427	8114476892	114298
503530376854358	64123969372	8114493859	116271
503530426913504	64124664633	8114519981	202951
503530476869652	64125391005	8114553045	151892
503530527268425	64126510775	8114776803	490879
503530576905302	64127458083	8114888294	199565
503530626883448	64128161294	8114896151	159746
503530676905440	64128857623	8114918550	180522
503530726885910	64129513641	8114923753	151281
503530776844412	64130271826	8114963256	104531
503530826854873	64131177373	8115079476	150279
503530876847775	64132252406	8115235215	107596
503530926913823	64132981571	8115248871	198614
503530977195163	64133659468	8115268706	165556
503531026887444	64134341470	8115286573	148056
503531076865630	64135111145	8115340937	153957
503531126893973	64136280259	8115571074	175644
503531176904304	64137136370	8115657251	190689
503531226921468	64137866129	8115683251	193515
503531276923305	64138547704	8115690437	202700
503531326917088	64139233521	8115717230	207068
503531385070132	64140022451	8115753804	20351207
503531426857211	64141112513	8115900784	108427
503531476897915	64141970775	8115972756	178007
503531529331187	64142683065	8115991874	1646377
503531576937451	64143352036	8116015860	227393
503531626873915	64144006345	8116024709	161229
503531676886279	64144945933	8116157759	167810
503531726853015	64146050093	8116379382	132590
