key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2204547
monotonic_ns	package_uj	core_uj	sample_cost_ns
503264087301556	61922317482	7883209815	125823
503264137632747	61923167307	7883307908	459888
503264187346468	61924069421	7883426127	197715
503264237360563	61924913784	7883517980	215157
503264287284422	61925836008	7883650191	103541
503264337295702	61926675244	7883736505	121875
503264387454715	61927541532	7883839482	212412
503264437396196	61928441571	7883927841	201261
503264488146369	61929302168	7884004405	118919
503264537336073	61930137802	7884086234	191363
503264590445802	61930975741	7884178881	3230581
503264637288347	61931791480	7884315608	122977
503264687352406	61932610911	7884402471	209717
503264737324586	61933484050	7884493714	150638
503264787359762	61934331494	7884582928	216990
503264837295184	61935255717	7884698370	125742
503264887342403	61936099012	7884784944	205048
503264937846975	61936995816	7884904170	484133
503264987367161	61937892010	7885017064	216790
503265037291432	61938741728	7885106094	118088
503265088768759	61939740623	7885244713	165726
503265138392306	61940676167	7885337863	288051
503265187290965	61941541189	7885430342	119510
503265237327083	61942373940	7885509683	181555
503265287293341	61943223490	7885615055	125982
503265337299844	61944053556	7885702529	135210
503265389064612	61944904251	7885794138	1020443
503265437424988	61945768052	7885888509	229143
503265487360941	61946535712	7885937029	219585
503265537647931	61947348918	7886034696	147933
503265587284924	61947918438	7886289230	118870
503265637338746	61948517345	7886502476	200701
503265687353586	61949123591	7886720192	178920
503265737324466	61949781333	7886858506	149716
503265787344085	61950318415	7887003243	197103
503265837290659	61950815078	7887115191	113279
503265887447131	61951364900	7887188552	108410
503265937305512	61951833504	7887291604	153092
503265987300205	61952107034	7887296975	137153
503266037306620	61952659404	7887423113	149345
503266087311442	61953000298	7887477584	152030
503266137293432	61953554392	7887723985	128727
503266187264922	61954071501	7887946355	91028
503266237314126	61954551503	7887972386	152021
503266287305924	61955045450	7888006884	151489
503266337275591	61955271375	7888011583	111115
503266387257530	61955491991	7888015016	97299
503266437258044	61955710455	7888018465	99153
503266487225677	61955938592	7888022142	57817
503266537350931	61956186031	7888040528	201733
footer_sample_count	201
footer_unreadable_count	0
footer_achieved_period_ns	50000839
footer_first_monotonic_ns	503256537183088
footer_last_monotonic_ns	503266537350931
