key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2209718
monotonic_ns	package_uj	core_uj	sample_cost_ns
503321538993270	62289036616	7923914573	183066
503321588984991	62290124237	7924116177	152836
503321638961111	62290870582	7924127224	97726
503321688951787	62291583466	7924152628	90498
503321738963987	62292246685	7924162103	140693
503321789803555	62292949988	7924185158	120381
503321839023795	62293965636	7924369246	190556
503321888969282	62294983330	7924556157	101170
503321938960569	62295739715	7924585574	97336
503321988966361	62296392910	7924594561	124576
503322039045113	62297121311	7924623414	198255
503322089035989	62297935570	7924637283	188855
503322138962246	62298905444	7924759088	104623
503322189030566	62299927303	7924931747	204563
503322238997186	62300677310	7924956954	142704
503322289018316	62301339279	7924964171	191858
503322340330537	62302013819	7924969114	353664
503322389478688	62302725376	7925000134	228468
503322438975188	62303771465	7925194155	152055
503322488981861	62304776784	7925345605	133385
503322539018267	62305513288	7925360238	194251
503322588968987	62306208396	7925387412	122103
503322639038262	62306862842	7925396155	211542
503322689482288	62307613368	7925440266	119361
503322738983830	62308708557	7925658913	183621
503322788995572	62309648633	7925802430	133286
503322838961974	62310370199	7925821457	96635
503322889043362	62311046037	7925827301	192601
503322939035442	62311741710	7925851973	190739
503322988988429	62312421378	7925866422	171057
503323039017010	62313518824	7926046253	188437
503323091081672	62314435083	7926161512	2226261
503323138981128	62315376715	7926212489	118230
503323188984360	62316066651	7926224939	146120
503323239079484	62316739849	7926251229	193582
503323288995029	62317484226	7926300115	177605
503323350685496	62318567025	7926568763	11877512
503323388974725	62319501486	7926615864	109340
503323438994516	62320192948	7926627369	161577
503323489026540	62320909540	7926655123	184082
503323538981369	62321582937	7926665758	145049
503323588960712	62322412942	7926749723	104466
503323638979125	62323501691	7926964113	168636
503323689813682	62324405804	7927059796	896092
503323739051482	62325074822	7927075008	214898
503323788992730	62325722036	7927083202	180020
503323839043399	62326416259	7927106424	216850
503323889345657	62327163444	7927134972	164161
503323939011620	62328205168	7927293106	173422
503323989026620	62329007281	7927347760	198890
503324038969931	62329737728	7927377788	122136
503324089019879	62330395927	7927385844	202584
503324142300002	62331103090	7927412073	2891360
503324189075988	62332035323	7927459586	249557
503324243853628	62333179444	7927668972	76264
503324288954359	62333920861	7927699533	91301
503324338940928	62334604831	7927713632	74693
503324389011579	62335330486	7927741081	169277
503324439018460	62335984292	7927749702	175374
503324489014789	62336934789	7927870850	174994
503324539004411	62338028192	7928094533	153710
503324588993006	62338821288	7928125079	136032
503324638936432	62339484599	7928138201	74453
503324689180595	62340173055	7928152299	178319
503324739021837	62340873245	7928173935	176577
503324788989320	62341817120	7928319161	1151496
503324839024849	62342919251	7928528867	193927
503324888977937	62343717534	7928545391	123257
503324938952177	62344537423	7928584955	88069
503324988967474	62345188146	7928594491	143841
503325039034669	62345896239	7928623283	158227
503325088981379	62346872156	7928788756	206490
503325139479404	62347921998	7928992390	1951830
503325188954488	62348728124	7929029756	91021
503325238992860	62349585959	7929050141	157977
503325289017487	62350280778	7929077773	171712
503325338968302	62350942228	7929086730	134070
503325389022862	62352012119	7929271687	191113
503325439040261	62353024136	7929443401	212618
503325488983978	62353782642	7929472788	140046
503325538999074	62354429825	7929479639	185508
503325589367848	62355121013	7929496697	119054
503325639036903	62355803945	7929510765	204010
503325688989037	62356641594	7929586673	172033
503325738984860	62357680847	7929740123	154514
503325788994779	62358397180	7929750682	190264
503325838974184	62359104297	7929778650	125772
503325888984804	62359758956	7929787194	185489
503325938960174	62360521063	7929833151	103566
503325989181742	62361751102	7930038249	144533
503326039020187	62362774700	7930180728	170222
503326089111618	62363533374	7930193682	186009
503326139035480	62364187286	7930199160	208345
503326188993371	62364877375	7930222734	163965
503326258473469	62365604388	7930286146	22049274
503326288986859	62366752155	7930421042	130977
503326339030446	62367649021	7930530701	200676
503326388970547	62368372509	7930559691	118453
503326439049463	62369055518	7930571303	224753
503326488960972	62369744524	7930594815	102346
503326538981843	62370507393	7930643732	172394
503326593674837	62371652735	7930884000	4159988
503326639060091	62372541590	7930950937	350969
503326689042279	62373232808	7930962487	212431
503326739104708	62373938689	7930987510	223484
503326788983409	62374581752	7930991706	172797
503326839050584	62375331759	7931029821	218769
503326888984277	62376252305	7931151061	166089
503326938960428	62377150528	7931242182	104258
503326988995847	62377853281	7931252984	190236
503327038997708	62378554096	7931281303	157039
503327088995784	62379225921	7931288856	181006
503327149080955	62380075884	7931426544	10251562
503327188966377	62381220234	7931596945	109374
503327239030999	62382002984	7931650181	205313
503327289044423	62382723604	7931676745	193560
503327339020264	62383544942	7931691240	172195
503327388952015	62384273832	7931716446	88170
503327439177090	62385043904	7931753370	186842
503327489263156	62386068295	7931907980	116592
503327538954954	62386837710	7931943439	93176
503327588984453	62387544568	7931963809	125553
503327638999221	62388206506	7931977541	171096
503327688964653	62388857793	7931986116	133403
503327739025374	62389851257	7932152672	193672
503327789041154	62390963138	7932375821	375430
503327839043718	62391786749	7932405528	215457
503327889029043	62392437396	7932412943	203994
503327938962628	62393165142	7932443383	105150
